length,diameter,height,wholeweight,shuckedweight,visceraweight,shellweight,class,F,I,M
0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315,8,False,True,False
0.475,0.375,0.115,0.5205,0.233,0.119,0.1455,7,False,True,False
0.605,0.48,0.17,1.1835,0.582,0.2365,0.317,10,False,False,True
0.54,0.435,0.14,0.7345,0.33,0.1595,0.213,9,False,False,True
0.505,0.405,0.13,0.599,0.2245,0.1175,0.225,11,False,True,False
0.5,0.365,0.125,0.528,0.229,0.103,0.1645,9,False,True,False
0.56,0.44,0.16,1.1115,0.5035,0.2785,0.26,10,False,False,True
0.58,0.45,0.145,1.0025,0.547,0.1975,0.2295,8,False,False,True
0.625,0.495,0.155,1.0485,0.487,0.212,0.3215,11,False,False,True
0.58,0.45,0.235,1.071,0.3,0.206,0.395,14,True,False,False
0.43,0.315,0.095,0.378,0.175,0.08,0.1045,8,False,True,False
0.475,0.375,0.115,0.5205,0.233,0.119,0.1455,7,False,True,False
0.645,0.5,0.16,1.2465,0.5475,0.327,0.3,10,True,False,False
0.71,0.565,0.195,1.7265,0.638,0.3365,0.565,17,True,False,False
0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5,False,True,False
0.575,0.435,0.14,0.8455,0.401,0.191,0.222,9,False,False,True
0.605,0.5,0.175,1.098,0.4765,0.232,0.375,12,False,False,True
0.575,0.44,0.145,0.87,0.3945,0.2195,0.225,8,False,False,True
0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475,29,True,False,False
0.485,0.4,0.135,0.663,0.313,0.137,0.2,10,False,False,True
0.355,0.265,0.085,0.201,0.069,0.053,0.0695,8,False,False,True
0.285,0.215,0.06,0.0935,0.031,0.023,0.03,6,False,True,False
0.675,0.545,0.195,1.7345,0.6845,0.3695,0.605,20,True,False,False
0.47,0.35,0.135,0.567,0.2315,0.1465,0.1525,11,False,True,False
0.67,0.535,0.185,1.597,0.6275,0.35,0.47,21,True,False,False
0.475,0.36,0.11,0.492,0.211,0.11,0.15,8,False,True,False
0.37,0.28,0.1,0.252,0.1065,0.0595,0.074,8,False,False,True
0.35,0.235,0.08,0.17,0.0725,0.0465,0.0495,7,False,True,False
0.61,0.425,0.155,1.0485,0.507,0.1955,0.274,11,False,True,False
0.575,0.45,0.145,0.872,0.4675,0.18,0.217,9,False,True,False
0.555,0.425,0.14,0.963,0.44,0.224,0.24,7,True,False,False
0.61,0.475,0.165,1.116,0.428,0.2205,0.315,15,False,False,True
0.53,0.435,0.155,0.699,0.288,0.1595,0.205,10,False,False,True
0.535,0.415,0.17,0.879,0.295,0.1965,0.285,10,True,False,False
0.555,0.42,0.145,0.8695,0.3075,0.2575,0.25,14,False,False,True
0.35,0.26,0.075,0.18,0.09,0.0245,0.055,5,False,True,False
0.48,0.385,0.145,0.64,0.2925,0.1405,0.1575,6,False,False,True
0.535,0.41,0.135,0.862,0.2855,0.1525,0.32,14,False,False,True
0.555,0.45,0.145,0.915,0.4,0.246,0.285,11,False,False,True
0.42,0.315,0.115,0.355,0.1895,0.065,0.087,6,False,True,False
0.23,0.165,0.06,0.0515,0.019,0.0145,0.036,4,False,True,False
0.38,0.275,0.095,0.1375,0.086,0.0585,0.0605,7,False,True,False
0.545,0.415,0.2,1.358,0.567,0.318,0.403,10,True,False,False
0.555,0.455,0.17,0.8435,0.309,0.1905,0.3,15,False,True,False
0.445,0.31,0.09,0.336,0.1555,0.09,0.0855,7,False,True,False
0.38,0.29,0.085,0.2285,0.088,0.0465,0.075,7,False,True,False
0.525,0.41,0.115,0.7745,0.416,0.163,0.18,7,True,False,False
0.635,0.5,0.18,1.2915,0.594,0.2695,0.37,9,False,False,True
0.55,0.435,0.11,0.806,0.3415,0.203,0.215,9,False,False,True
0.63,0.505,0.17,1.0915,0.4615,0.266,0.3,9,False,False,True
0.58,0.425,0.15,0.844,0.3645,0.185,0.2705,9,True,False,False
0.515,0.35,0.155,0.9225,0.4185,0.198,0.273,9,False,False,True
0.575,0.45,0.135,0.8285,0.362,0.1655,0.236,10,True,False,False
0.605,0.475,0.175,1.2525,0.5575,0.3055,0.343,9,False,False,True
0.44,0.355,0.115,0.415,0.1585,0.0925,0.131,11,True,False,False
0.61,0.48,0.15,1.1495,0.564,0.274,0.264,8,False,False,True
0.45,0.345,0.11,0.47,0.2355,0.0855,0.1135,7,False,True,False
0.4,0.315,0.09,0.33,0.151,0.068,0.08,6,False,True,False
0.695,0.54,0.195,1.691,0.768,0.363,0.4755,11,False,False,True
0.575,0.44,0.125,0.8515,0.4555,0.1715,0.1965,9,False,True,False
0.365,0.27,0.085,0.196,0.0825,0.0375,0.06,7,False,True,False
0.51,0.4,0.12,0.7005,0.347,0.1105,0.195,10,True,False,False
0.625,0.485,0.16,1.2135,0.631,0.2235,0.302,9,False,False,True
0.465,0.35,0.13,0.494,0.1945,0.103,0.155,18,True,False,False
0.585,0.465,0.155,0.9145,0.4555,0.1965,0.235,9,False,False,True
0.575,0.45,0.165,0.9215,0.3275,0.225,0.256,12,False,False,True
0.6,0.48,0.09,1.05,0.457,0.2685,0.28,8,False,False,True
0.575,0.455,0.155,1.013,0.4685,0.2085,0.295,11,False,False,True
0.53,0.435,0.16,0.883,0.316,0.164,0.335,15,False,False,True
0.54,0.415,0.17,0.879,0.339,0.208,0.255,10,False,False,True
0.5,0.405,0.14,0.6155,0.241,0.1355,0.205,9,False,False,True
0.61,0.48,0.14,1.0625,0.516,0.225,0.2915,11,False,False,True
0.61,0.45,0.19,1.0805,0.517,0.2495,0.2935,10,False,False,True
0.575,0.435,0.15,0.805,0.293,0.1625,0.27,17,False,False,True
0.58,0.46,0.14,0.8295,0.3915,0.165,0.238,10,False,True,False
0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,13,True,False,False
0.395,0.295,0.1,0.293,0.14,0.062,0.082,7,False,True,False
0.33,0.25,0.075,0.1405,0.056,0.035,0.05,5,False,True,False
0.2,0.145,0.06,0.037,0.0125,0.0095,0.011,4,False,True,False
0.595,0.46,0.14,1.0045,0.4655,0.2095,0.2515,9,True,False,False
0.41,0.32,0.095,0.2905,0.141,0.063,0.073,5,False,True,False
0.4,0.31,0.115,0.3465,0.1475,0.0695,0.115,10,True,False,False
0.685,0.52,0.15,1.3735,0.7185,0.293,0.32,11,False,False,True
0.2,0.14,0.055,0.035,0.0145,0.008,0.01,5,False,False,True
0.495,0.38,0.135,0.5095,0.2065,0.1165,0.165,8,False,True,False
0.7,0.555,0.22,1.666,0.647,0.4285,0.455,11,True,False,False
0.72,0.575,0.17,1.9335,0.913,0.389,0.51,13,True,False,False
0.605,0.475,0.145,1.0185,0.4695,0.225,0.27,15,True,False,False
0.61,0.46,0.145,1.1185,0.478,0.2945,0.2985,10,True,False,False
0.535,0.435,0.14,0.874,0.3735,0.229,0.2195,8,False,False,True
0.66,0.53,0.17,1.3905,0.5905,0.212,0.453,15,False,False,True
0.63,0.51,0.19,1.4985,0.4125,0.3075,0.545,16,False,False,True
0.585,0.45,0.16,0.9045,0.405,0.2215,0.2335,8,True,False,False
0.525,0.4,0.155,0.707,0.282,0.1605,0.225,9,False,False,True
0.27,0.195,0.07,0.102,0.045,0.0135,0.034,8,False,True,False
0.465,0.35,0.115,0.421,0.1565,0.091,0.1345,9,True,False,False
0.595,0.48,0.15,1.11,0.498,0.228,0.33,10,True,False,False
0.635,0.5,0.175,1.477,0.684,0.3005,0.39,12,True,False,False
0.375,0.27,0.135,0.597,0.272,0.131,0.1675,7,True,False,False
0.185,0.135,0.045,0.032,0.011,0.0065,0.01,4,False,True,False
0.44,0.325,0.1,0.4165,0.185,0.0865,0.11,6,False,True,False
0.575,0.455,0.135,0.907,0.4245,0.197,0.26,9,False,False,True
0.445,0.345,0.12,0.4035,0.169,0.0825,0.13,7,False,True,False
0.615,0.475,0.175,1.194,0.559,0.259,0.3165,11,True,False,False
0.635,0.5,0.18,1.312,0.529,0.2485,0.485,18,True,False,False
0.51,0.4,0.13,0.6435,0.27,0.1665,0.205,12,False,False,True
0.725,0.53,0.19,1.7315,0.83,0.398,0.405,11,True,False,False
0.665,0.535,0.155,1.383,0.596,0.2565,0.485,14,False,False,True
0.575,0.46,0.165,1.065,0.4985,0.2145,0.2815,8,True,False,False
0.305,0.245,0.075,0.156,0.0675,0.038,0.045,7,False,True,False
0.575,0.44,0.16,0.9615,0.483,0.166,0.275,13,False,False,True
0.16,0.12,0.02,0.018,0.0075,0.0045,0.005,4,False,True,False
0.62,0.475,0.15,0.9545,0.455,0.1865,0.277,9,True,False,False
0.4,0.315,0.085,0.2675,0.116,0.0585,0.0765,6,False,True,False
0.535,0.405,0.125,0.927,0.26,0.1425,0.345,16,True,False,False
0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276,8,True,False,False
0.535,0.445,0.125,0.8725,0.417,0.199,0.24,8,True,False,False
0.335,0.26,0.075,0.22,0.0855,0.04,0.085,6,False,False,True
0.495,0.375,0.115,0.5755,0.31,0.1145,0.1395,8,False,True,False
0.335,0.25,0.095,0.185,0.0795,0.0495,0.055,8,False,True,False
0.54,0.42,0.13,0.7505,0.368,0.1675,0.1845,9,True,False,False
0.625,0.505,0.175,1.15,0.5475,0.256,0.3045,11,True,False,False
0.61,0.48,0.14,1.0625,0.516,0.225,0.2915,11,False,False,True
0.505,0.385,0.135,0.6185,0.251,0.1175,0.2,12,True,False,False
0.535,0.435,0.14,0.874,0.3735,0.229,0.2195,8,False,False,True
0.465,0.38,0.135,0.579,0.208,0.1095,0.22,14,True,False,False
0.69,0.53,0.17,1.5535,0.7945,0.3485,0.3695,9,True,False,False
0.57,0.465,0.155,0.9685,0.446,0.261,0.255,9,True,False,False
0.33,0.245,0.065,0.1445,0.058,0.032,0.0505,6,False,True,False
0.455,0.36,0.11,0.4385,0.206,0.098,0.125,10,True,False,False
0.64,0.485,0.15,1.098,0.5195,0.222,0.3175,10,False,False,True
0.415,0.315,0.105,0.33,0.1405,0.0705,0.095,6,False,True,False
0.58,0.475,0.135,0.925,0.391,0.165,0.275,14,True,False,False
0.415,0.325,0.115,0.3455,0.1405,0.0765,0.11,9,True,False,False
0.56,0.44,0.13,0.7235,0.349,0.149,0.2,8,False,True,False
0.625,0.445,0.16,1.09,0.46,0.2965,0.304,11,True,False,False
0.555,0.405,0.19,1.406,0.6115,0.342,0.389,10,False,False,True
0.535,0.4,0.135,0.8215,0.3935,0.196,0.205,8,True,False,False
0.59,0.44,0.135,0.966,0.439,0.2145,0.2605,10,False,False,True
0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10,False,False,True
0.35,0.26,0.09,0.1765,0.072,0.0355,0.0575,7,False,True,False
0.635,0.495,0.195,1.172,0.445,0.3115,0.3475,11,False,False,True
0.525,0.4,0.14,0.601,0.2625,0.1285,0.1835,9,False,True,False
0.63,0.47,0.145,1.1005,0.52,0.26,0.276,9,False,False,True
0.445,0.37,0.125,0.515,0.2495,0.087,0.159,9,False,False,True
0.5,0.38,0.135,0.594,0.2945,0.104,0.1565,9,False,True,False
0.415,0.325,0.1,0.313,0.139,0.0625,0.0965,7,False,True,False
0.205,0.155,0.045,0.0495,0.0235,0.011,0.014,3,False,True,False
0.58,0.445,0.15,0.8865,0.383,0.209,0.255,11,False,True,False
0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13,True,False,False
0.505,0.39,0.16,0.644,0.2475,0.2025,0.1635,9,True,False,False
0.6,0.475,0.18,1.162,0.511,0.2675,0.32,18,True,False,False
0.4,0.315,0.09,0.33,0.151,0.068,0.08,6,False,True,False
0.3,0.23,0.085,0.117,0.05,0.0175,0.0415,6,False,True,False
0.49,0.37,0.105,0.5265,0.249,0.1005,0.148,7,True,False,False
0.685,0.54,0.215,1.7025,0.664,0.3655,0.4735,14,True,False,False
0.515,0.395,0.165,0.7565,0.1905,0.17,0.3205,10,True,False,False
0.385,0.295,0.095,0.335,0.147,0.094,0.09,7,False,False,True
0.495,0.38,0.135,0.6295,0.263,0.1425,0.215,12,False,False,True
0.37,0.28,0.09,0.218,0.0995,0.0545,0.0615,7,False,True,False
0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,18,False,False,True
0.175,0.125,0.04,0.024,0.0095,0.006,0.005,4,False,False,True
0.61,0.48,0.165,1.097,0.4215,0.264,0.335,13,False,True,False
0.38,0.27,0.08,0.2105,0.0865,0.042,0.07,8,False,True,False
0.6,0.495,0.185,1.1145,0.5055,0.2635,0.367,11,False,False,True
0.58,0.46,0.185,1.017,0.3515,0.2,0.32,10,True,False,False
0.6,0.46,0.155,0.9735,0.427,0.2045,0.3,8,True,False,False
0.62,0.51,0.18,1.233,0.592,0.274,0.322,10,True,False,False
